"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"India",2021-04-05,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","South-East Asia Region"
"Kyrgyzstan",2021-04-05,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","European Region"
"Kyrgyzstan",2021-04-05,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","European Region"
"Papua New Guinea",2021-04-05,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","Western Pacific Region"
"Sierra Leone",2021-04-05,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Low income","African Region"
"Suriname",2021-04-05,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","Region of the Americas"
"Suriname",2021-04-05,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Upper middle income","Region of the Americas"
"Venezuela",2021-04-05,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","Region of the Americas"
"Angola",2021-04-06,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","African Region"
"Argentina",2021-04-06,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Region of the Americas"
"Argentina",2021-04-06,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Benin",2021-04-06,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","African Region"
"Benin",2021-04-06,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","African Region"
"Cote d'Ivoire",2021-04-06,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Lower middle income","African Region"
"Cape Verde",2021-04-06,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","African Region"
"Cape Verde",2021-04-06,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","African Region"
"Cape Verde",2021-04-06,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","African Region"
"Djibouti",2021-04-06,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Djibouti",2021-04-06,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","Eastern Mediterranean Region"
"Djibouti",2021-04-06,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","Eastern Mediterranean Region"
"Fiji",2021-04-06,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","Western Pacific Region"
"Fiji",2021-04-06,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Western Pacific Region"
"Croatia",2021-04-06,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","European Region"
"Jamaica",2021-04-06,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Region of the Americas"
"Moldova",2021-04-06,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Lower middle income","European Region"
"Madagascar",2021-04-06,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Low income","African Region"
"Philippines",2021-04-06,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","Western Pacific Region"
"El Salvador",2021-04-06,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","Region of the Americas"
"Eswatini",2021-04-06,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","African Region"
"Eswatini",2021-04-06,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","African Region"
"Eswatini",2021-04-06,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Lower middle income","African Region"
"Eswatini",2021-04-06,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Turkmenistan",2021-04-06,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Upper middle income","European Region"
"Venezuela",2021-04-06,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"U.S. Virgin Islands",2021-04-06,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income",NA
"U.S. Virgin Islands",2021-04-06,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","High income",NA
"South Africa",2021-04-06,"Closure Policies","Cancel public events",0,"No measures","No restriction","Upper middle income","African Region"
"South Africa",2021-04-06,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","Upper middle income","African Region"
"Hungary",2021-04-07,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Paraguay",2021-04-07,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","Region of the Americas"
"Serbia",2021-04-07,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Upper middle income","European Region"
"Oman",2021-04-08,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","Eastern Mediterranean Region"
"Andorra",2021-04-09,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","European Region"
